clean_match_id,match_date_utc,competition_code,season,team_a_name,team_b_name,home_form_points_last_5,away_form_points_last_5,home_form_points_last_10,away_form_points_last_10,home_goals_scored_avg_last_10,away_goals_scored_avg_last_10,home_goals_conceded_avg_last_10,away_goals_conceded_avg_last_10,elo_gap,is_neutral_venue,host_advantage_side,is_group_stage,is_knockout_stage,target_result
111,1949-10-01T00:00:00+01:00,WCQ,1949,Northern Ireland,Scotland,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
112,1949-10-09T00:00:00+01:00,WCQ,1949,Finland,Republic of Ireland,0,4,0,5,0.0,2.5,2.5,3.0,-46.757,False,TEAM_A,False,False,DRAW
113,1949-10-09T00:00:00+01:00,WCQ,1949,Yugoslavia,France,9,6,16,9,2.444,2.286,1.889,1.571,70.036,False,TEAM_A,False,False,DRAW
114,1949-10-15T00:00:00+01:00,WCQ,1949,Wales,England,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_B_WIN
115,1949-10-30T00:00:00+01:00,WCQ,1949,France,Yugoslavia,7,10,10,17,2.125,2.3,1.5,1.8,-56.742,False,TEAM_A,False,False,DRAW
116,1949-11-09T00:00:00+01:00,WCQ,1949,Scotland,Wales,3,0,3,0,8.0,1.0,2.0,4.0,45.718,False,TEAM_A,False,False,TEAM_A_WIN
117,1949-11-13T00:00:00+01:00,WCQ,1949,Republic of Ireland,Sweden,5,6,6,18,2.286,3.1,2.714,2.1,-62.292,False,NONE,False,False,TEAM_B_WIN
118,1949-11-16T00:00:00+01:00,WCQ,1949,England,Northern Ireland,3,0,3,0,4.0,2.0,1.0,8.0,45.718,False,TEAM_A,False,False,TEAM_A_WIN
119,1949-11-20T00:00:00+01:00,WCQ,1949,Turkey,Syria,0,0,0,0,,,,,0.0,False,TEAM_A,False,False,TEAM_A_WIN
120,1949-12-11T00:00:00+01:00,WCQ,1949,France,Yugoslavia,5,11,11,15,2.0,2.2,1.444,1.8,-55.966,True,NONE,False,False,TEAM_B_WIN
121,1950-03-08T00:00:00+01:00,WCQ,1950,Wales,Northern Ireland,0,0,0,0,0.5,2.0,3.0,8.5,0.0,False,TEAM_A,False,False,DRAW
122,1950-04-02T00:00:00+01:00,WCQ,1950,Spain,Portugal,10,0,10,0,3.0,0.667,0.8,4.333,95.129,False,TEAM_A,False,False,TEAM_A_WIN
123,1950-04-09T00:00:00+01:00,WCQ,1950,Portugal,Spain,0,10,0,13,0.75,3.333,4.5,0.833,-119.329,False,TEAM_A,False,False,DRAW
124,1950-04-15T00:00:00+01:00,WCQ,1950,Scotland,England,6,6,6,6,5.0,6.5,1.0,1.5,0.0,False,TEAM_A,False,False,TEAM_B_WIN
125,1950-06-24T00:00:00+01:00,WC,1950,Brazil,Mexico,10,12,13,15,2.5,3.0,2.0,2.444,58.888,False,TEAM_A,False,False,TEAM_A_WIN
126,1950-06-25T00:00:00+01:00,WC,1950,Chile,England,6,9,6,9,1.667,4.667,1.0,1.0,-35.497,True,NONE,False,False,TEAM_B_WIN
127,1950-06-25T00:00:00+01:00,WC,1950,Italy,Sweden,15,9,28,18,2.7,3.2,0.8,2.2,160.55,True,NONE,False,False,TEAM_B_WIN
128,1950-06-25T00:00:00+01:00,WC,1950,Spain,United States,8,6,14,12,3.143,2.714,1.0,3.286,29.741,True,NONE,False,False,TEAM_A_WIN
129,1950-06-25T00:00:00+01:00,WC,1950,Switzerland,Yugoslavia,10,11,18,15,2.4,2.1,1.9,2.0,18.052,True,NONE,False,False,TEAM_B_WIN
130,1950-06-28T00:00:00+01:00,WC,1950,Brazil,Switzerland,10,9,16,17,2.667,2.2,1.778,2.0,49.878,False,TEAM_A,False,False,DRAW
131,1950-06-28T00:00:00+01:00,WC,1950,Mexico,Yugoslavia,9,11,15,18,2.7,2.3,2.6,1.4,-95.86,True,NONE,False,False,TEAM_B_WIN
132,1950-06-29T00:00:00+01:00,WC,1950,Chile,Spain,6,8,6,17,1.25,3.125,1.25,1.0,-77.316,True,NONE,False,False,TEAM_B_WIN
133,1950-06-29T00:00:00+01:00,WC,1950,England,United States,12,6,12,12,4.0,2.5,0.75,3.25,96.69,True,NONE,False,False,TEAM_B_WIN
134,1950-06-29T00:00:00+01:00,WC,1950,Paraguay,Sweden,3,9,3,18,0.5,3.2,1.5,2.2,-91.509,True,NONE,False,False,DRAW
135,1950-07-01T00:00:00+01:00,WC,1950,Brazil,Yugoslavia,10,11,17,20,2.6,2.5,1.8,1.3,-25.505,False,TEAM_A,False,False,TEAM_A_WIN
136,1950-07-02T00:00:00+01:00,WC,1950,Bolivia,Uruguay,0,12,0,12,0.0,3.75,4.0,0.75,-162.376,True,NONE,False,False,TEAM_B_WIN
137,1950-07-02T00:00:00+01:00,WC,1950,Chile,United States,6,6,6,15,1.0,2.333,1.4,2.889,-54.27,True,NONE,False,False,TEAM_A_WIN
138,1950-07-02T00:00:00+01:00,WC,1950,England,Spain,12,10,12,20,3.2,3.0,0.8,0.889,-49.499,True,NONE,False,False,TEAM_B_WIN
139,1950-07-02T00:00:00+01:00,WC,1950,Italy,Paraguay,12,4,25,4,2.5,1.0,1.1,1.667,158.427,True,NONE,False,False,TEAM_A_WIN
140,1950-07-02T00:00:00+01:00,WC,1950,Mexico,Switzerland,6,7,15,17,2.7,2.2,2.6,2.0,-81.119,True,NONE,False,False,TEAM_B_WIN
141,1950-07-09T00:00:00+01:00,WC,1950,Brazil,Sweden,10,10,20,19,2.7,3.3,1.6,2.2,16.46,False,TEAM_A,False,False,TEAM_A_WIN
142,1950-07-09T00:00:00+01:00,WC,1950,Spain,Uruguay,13,15,23,15,2.8,4.6,0.8,0.6,2.747,True,NONE,False,False,DRAW
143,1950-07-13T00:00:00+01:00,WC,1950,Brazil,Spain,13,11,20,21,3.0,2.1,1.7,1.0,2.773,False,TEAM_A,False,False,TEAM_A_WIN
144,1950-07-13T00:00:00+01:00,WC,1950,Sweden,Uruguay,10,13,16,16,3.0,4.167,2.9,0.833,-60.076,True,NONE,False,False,TEAM_B_WIN
145,1950-07-16T00:00:00+01:00,WC,1950,Brazil,Uruguay,13,13,23,19,3.5,4.0,1.5,1.0,5.659,False,TEAM_A,False,False,TEAM_B_WIN
146,1950-07-16T00:00:00+01:00,WC,1950,Spain,Sweden,10,7,18,13,2.0,2.5,1.5,3.0,61.735,True,NONE,False,False,TEAM_B_WIN
147,1953-05-09T00:00:00+01:00,WCQ,1953,Yugoslavia,Greece,10,6,20,6,2.4,1.25,1.3,4.0,72.529,False,TEAM_A,False,False,TEAM_A_WIN
148,1953-05-25T00:00:00+01:00,WCQ,1953,Finland,Belgium,1,4,1,5,0.2,1.625,2.2,2.875,17.543,False,TEAM_A,False,False,TEAM_B_WIN
149,1953-05-28T00:00:00+01:00,WCQ,1953,Sweden,Belgium,7,7,16,8,2.8,1.889,2.6,2.778,140.89,False,TEAM_A,False,False,TEAM_B_WIN
150,1953-06-14T00:00:00+01:00,WCQ,1953,Czechoslovakia,Romania,8,5,20,8,2.3,1.714,1.1,2.143,104.427,False,TEAM_A,False,False,TEAM_A_WIN
